Altium Designer Pick and Place Locations
C:\Users\SHIWA\Documents\GitHub\QUANTUM\Incubation\Hardware\TimeStick\ECAD\02_PTP_USB_TO_RJ45_DRC\Project Outputs for 02_PTP_USB_TO_RJ45_DRC\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       14.07.24
Time:       12:08
Revision:   b1778c6916747fb38905a317210484cfbf946839
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R19","10k","BottomLayer","FP-RMCF0402-IPC_C","68.3500","73.3750","0","10k? ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"R22","0 Ohm","BottomLayer","FP-CR0402-IPC_B","77.7500","78.2000","180","Thick Film Chip Resistors 0402 0? 0.0625W 5%"
"U4","TG5032CGN 40.0000M-CAGHNA0","TopLayer","QFN10_TG5032CGN_40.0000M-CAGHNA0_EPS","67.9250","76.6000","90","No Description Available"
"R21","0 Ohm","TopLayer","FP-CR0402-IPC_B","71.8250","75.5500","90","Thick Film Chip Resistors 0402 0? 0.0625W 5%"
"R20","0 Ohm","TopLayer","FP-CR0402-IPC_B","71.8000","77.5500","270","Thick Film Chip Resistors 0402 0? 0.0625W 5%"
"C31","15pF","BottomLayer","FP-CBR04C-MFG","69.3000","77.9750","180","CAP CER 15PF 100V C0G/NP0 0402"
"C30","100nF","TopLayer","FP-CL251-IPC_C","64.1750","77.1250","90","Cap Ceramic 100nF 10V X7R ±10% SMD 0402 +125°C Paper T/R"
"R18","10k","BottomLayer","FP-RMCF0402-IPC_C","69.3000","77.1750","0","10k? ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"R17","10k","BottomLayer","FP-RMCF0402-IPC_C","69.2500","75.8500","0","10k? ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"R16","10k","BottomLayer","FP-RMCF0402-IPC_C","79.8750","73.3250","270","10k? ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"C4","100nF","BottomLayer","FP-CL251-IPC_C","79.8250","76.0000","180","Cap Ceramic 100nF 10V X7R ±10% SMD 0402 +125°C Paper T/R"
"TP4","Test Point 1MM","BottomLayer","TP_PAD-1MM","73.8250","70.8750","90",""
"TP3","Test Point 1MM","BottomLayer","TP_PAD-1MM","75.9750","70.8750","90",""
"X1","SIT5501AI-WUG33JT-10.000000","BottomLayer","XTAL_SIT5501_70X50","75.0500","74.7000","90","1 MHz  60 MHz, Elite X Stratum 3E Precision Oscillator"
"U3","NC7WV125K8X","TopLayer","SOP50P310X90-8N","92.0000","54.9750","270","Integrated Circuit"
"R15","0 Ohm","TopLayer","FP-CR0402-IPC_B","90.1000","55.0750","270","Thick Film Chip Resistors 0402 0? 0.0625W 5%"
"R14","4k7","TopLayer","FP-RT0402-MFG","93.9000","54.6500","270","RES SMD 4.7K OHM 0.1% 1/16W 0402"
"D1","APT1608ZGCK","TopLayer","FP-APT1608ZGCK-MFG","91.8000","51.8250","0","LED GREEN CLEAR CHIP SMD"
"R13","4k7","TopLayer","FP-RT0402-MFG","94.6500","51.8500","180","RES SMD 4.7K OHM 0.1% 1/16W 0402"
"C29","100nF","TopLayer","FP-CL251-IPC_C","95.1250","54.9250","270","Cap Ceramic 100nF 10V X7R ±10% SMD 0402 +125°C Paper T/R"
"Y1","ABM3B-20.000MHZ-10-1-U-T","TopLayer","FP-ABM3B-MFG","76.0730","74.5490","180","Crystal 20MHz ±10ppm 10pF SMD-4 5mm x 3.2mm"
"U2","AX88179B","TopLayer","IC_AX88179B_QFN40_5X5","81.8010","66.3480","90",""
"U1","ST1S06PU33R","TopLayer","DFN6D_L","86.3600","72.1360","270","Synchronous rectification with inhibit, 1.5 A, 1.5 MHz adjustable, step-down switching regulator, 6-Pin DFN"
"TP2","Test Point 1MM","TopLayer","TP_PAD-1MM","75.6500","78.0500","90",""
"TP1","Test Point 1MM","TopLayer","TP_PAD-1MM","73.1520","77.9780","0",""
