Altium Designer Pick and Place Locations
H:\My Drive\DESIGNS\06_TIME_STICK_279\Project Outputs for 06_TIME_STICK_279\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       03/10/24
Time:       16:37
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"SW1","218-4LPST","TopLayer","CTS_218-4LPJ","3636.417","2994.094","90","SWITCH SLIDE DIP SPST 25MA 24V"
"J1","73251-1350","TopLayer","FP-73251-1350-MFG","3451.515","2266.570","180","CONN SMA JACK STR 50 OHM SMD"
"J4","ARJM11D7-809-AB-EW2","TopLayer","ARJM11D7809ABEW2","2653.937","2488.780","270","Connector"
"R19","0 Ohms","BottomLayer","RES_0402_1005","2785.433","2785.433","90","RES SMD 0 OHM JUMPER 1/5W 0402"
"R18","0 Ohms","BottomLayer","RES_0402_1005","2834.646","2785.433","90","RES SMD 0 OHM JUMPER 1/5W 0402"
"C4","100nF","BottomLayer","FP-CL251-IPC_C","2637.795","3080.709","180","Cap Ceramic 100nF 10V X7R ±10% SMD 0402 +125°C Paper T/R"
"C2","100nF","BottomLayer","FP-CL251-IPC_C","3435.039","2175.197","180","Cap Ceramic 100nF 10V X7R ±10% SMD 0402 +125°C Paper T/R"
"C1","100nF","BottomLayer","FP-CL251-IPC_C","3346.457","2795.276","0","Cap Ceramic 100nF 10V X7R ±10% SMD 0402 +125°C Paper T/R"
"R28","4k7","TopLayer","FP-RT0402-MFG","3228.347","2903.543","180","RES SMD 4.7K OHM 0.1% 1/16W 0402"
"U5","74LVC1G3157FZ4-7","BottomLayer","PSON50P140X100X40-6N","2640.525","3005.678","180","Analog Switch Single SPDT 6-Pin X2-DFN T/R"
"U3","74LVC1G3157FZ4-7","BottomLayer","PSON50P140X100X40-6N","3436.603","2266.570","180","Analog Switch Single SPDT 6-Pin X2-DFN T/R"
"U2","74LVC1G3157FZ4-7","TopLayer","PSON50P140X100X40-6N","3348.425","2792.403","270","Analog Switch Single SPDT 6-Pin X2-DFN T/R"
"R5","10k","TopLayer","FP-RMCF0402-IPC_C","3484.252","3070.866","180","10kO ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"R4","10k","TopLayer","FP-RMCF0402-IPC_C","3484.252","2952.756","180","10kO ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"R3","10k","TopLayer","FP-RMCF0402-IPC_C","3484.252","3011.811","180","10kO ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"J2","JST_SM05B-SRSS-G-TB","TopLayer","JST_SM05B-SRSS-TB_REV_NOV_29_2010","2677.165","2992.126","270","CONN, B2C/W, HEADER, 5-POS, 1.00MM PITCH, 2.90MM H, RA, TIN, SMT"
"U4","NC7WV125K8X","BottomLayer","SOP50P310X90-8N","3149.606","2253.937","270","Integrated Circuit"
"U9","ST1S06PUR","BottomLayer","DFN6D_M","3652.291","3015.079","0","Synchronous rectification with inhibit, 1.5 A, 1.5 MHz adjustable, step-down switching regulator, 6-Pin DFN"
"U8","SST25VF016B-50-4I-QAF-T","TopLayer","FP-C04-452-MFG","3041.339","2972.441","0","SST25VF016B-50-4I-QAF-T Flash Serial-SPI 3.3V 16Mbit 2M x 8bit 8ns 8-Pin WSON EP T/R - Tape and Reel"
"U7","AX88279","TopLayer","IC_AX88279","3224.252","2569.764","0",""
"R33","39.2k","BottomLayer","RESC1005X40X25ML05T10","3631.890","2913.386","90",""
